t (min),t (h),Masa (g),Masa (%),Pérdida (mg),v_acum (mg/h),v_int (mg/h)
0,0.0,8.6398,100.0,0.0,0.0,0.0
5,0.083,8.6396,99.9977,0.2,2.4,2.4
15,0.25,8.6385,99.985,1.3,5.2,6.6
25,0.417,8.6371,99.9687,2.7,6.48,8.4
35,0.583,8.6364,99.9606,3.4,5.8286,4.2
50,0.833,8.6356,99.9514,4.2,5.04,3.2
65,1.083,8.6333,99.9248,6.5,6.0,9.2
80,1.333,8.6329,99.9201,6.9,5.175,1.6
107,1.783,8.6297,99.8831,10.1,5.6636,7.1111
132,2.2,8.6293,99.8785,10.5,4.7727,0.96
145,2.417,8.6278,99.8611,12.0,4.9655,6.9231
165,2.75,8.6279,99.8623,11.9,4.3273,-0.3
185,3.083,8.627,99.8518,12.8,4.1514,2.7
205,3.417,8.6252,99.831,14.6,4.2732,5.4
225,3.75,8.6245,99.8229,15.3,4.08,2.1
245,4.083,8.623,99.8056,16.8,4.1143,4.5
