t (min),t (horas),Masa (g),Masa (%),Pérdida acum (mg),v_corr_acum (mg/h),v_corr_int (mg/h)
0,0.0,8.3728,100.0,0.0,0.0,0.0
5,0.083,8.3719,99.9893,0.9,10.8,10.8
15,0.25,8.3702,99.9689,2.6,10.4,10.2
25,0.417,8.3689,99.9534,3.9,9.36,7.8
35,0.583,8.3675,99.9367,5.3,9.0857,8.4
50,0.833,8.3659,99.9176,6.9,8.28,6.4
65,1.083,8.3641,99.8961,8.7,8.0308,7.2
80,1.333,8.3625,99.877,10.3,7.725,6.4
107,1.783,8.3589,99.834,13.9,7.7944,8.0
132,2.2,8.3568,99.8089,16.0,7.2727,5.04
145,2.417,8.3565,99.8053,16.3,6.7448,1.3846
165,2.75,8.3542,99.7779,18.6,6.7636,6.9
185,3.083,8.353,99.7635,19.8,6.4216,3.6
205,3.417,8.3517,99.748,21.1,6.1756,3.9
225,3.75,8.3509,99.7384,21.9,5.84,2.4
245,4.083,8.3508,99.7372,22.0,5.3878,0.3
